ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
"30";"241228";"241228";"Echinogammarus cyrtus";"Pinkster & Platvoet, 1986";"";"";"ES";"Gammaridae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240851";"240851";"Elaphoidella boui";"Rouch, 1988";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240852";"240852";"Elaphoidella bouilloni";"Rouch, 1964";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240850";"240850";"Elaphoidella brehieri";"Apostolov, 2002";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"443331";"443331";"Elaphoidella brevicaudata";"Apostolov, 2002";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240876";"432531";"Elaphoidella calypsonis";"Chappuis & Rouch, 1959";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240853";"240853";"Elaphoidella cavatica";"Chappuis, 1957";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"443332";"443332";"Elaphoidella claudboui";"Apostolov, 2003";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"542660";"542660";"Elaphoidella coiffaiti";"Chappuis & Kiefer, 1952";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240854";"240854";"Elaphoidella elaphoides";"(Chappuis, 1924)";"";"";"ES";"Canthocamptidae";"";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"628878";"628935";"Elaphoidella federicae";"Lesson, 1830";"";"";"ES";"Holothuriidae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Autres";"";
"30";"240855";"240855";"Elaphoidella garbetensis";"Rouch, 1980";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"432533";"432533";"Elaphoidella infernalis";"Rouch, 1970";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240856";"240856";"Elaphoidella longifurcata";"Chappuis & Kiefer, 1952";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"443333";"443333";"Elaphoidella madiracensis";"Apostolov, 1998";"";"";"ES";"Canthocamptidae";"Métropole";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240857";"240857";"Elaphoidella mauro";"Chappuis, 1956";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240858";"240858";"Elaphoidella pyrenaica";"Rouch, 1970";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"542662";"542662";"Elaphoidella reducta";"Rouch, 1964";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240859";"240859";"Elaphoidella vandeli";"Chappuis & Rouch, 1958";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240860";"240860";"Elaphoidella vasconica";"Rouch, 1970";"";"";"ES";"Canthocamptidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"319878";"319878";"Ephemeroporus phintonicus";"(Margaritora, 1969)";"";"";"ES";"Eurycercidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"319879";"319879";"Estatheroporus gauthieri";"Alonso, 1990";"";"";"ES";"Eurycercidae";"";"";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240945";"240945";"Gallasellus heilyi";"(Legrand, 1956)";"";"";"ES";"Asellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216433";"216433";"Gallobathynella boui";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216435";"216435";"Gallobathynella delayi";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"216436";"216436";"Gallobathynella juberthiae";"Serban, Coineau & Delamare Deboutteville, 1971";"";"";"ES";"Bathynellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"534584";"534584";"Gallocaris inermis";"(Fage, 1937)";"Crevette cavernicole";"";"ES";"Atyidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"NT";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"628401";"628401";"Gammarus stupendus";"Pinkster, 1983";"";"";"ES";"Gammaridae";"Métropole";"";"VU";"B2ab(ii,iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240809";"240809";"Gelyella droguei";"Rouch & Lescher-Moutoué, 1977";"";"";"ES";"Gelyellidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"30";"240768";"240768";"Graeteriella bertrandi";"Lescher-Moutoué, 1974";"";"";"ES";"Cyclopidae";"Métropole";"Espèce souterraine";"VU";"D2";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
